Documento 1:
Index     Term           TF        IDF       TF-IDF    
11        savory         1.0000    2.3026    2.3026    
12        herb           1.0000    2.3026    2.3026    
13        carry          1.0000    1.8971    1.8971    
14        palate         1.0000    0.9163    0.9163    
15        s              1.3010    0.7985    1.0389    
16        balance        1.0000    1.6094    1.6094    
17        fresh          1.0000    1.6094    1.6094    
18        acidity        1.0000    0.9163    0.9163    
19        soft           1.0000    2.9957    2.9957    
20        tannins        1.0000    1.8971    1.8971    

Documento 8:
Index     Term           TF        IDF       TF-IDF    
0         dry            1.0000    1.3863    1.3863    
1         restrain       1.0000    2.3026    2.3026    
2         wine           1.0000    0.9163    0.9163    
3         offer          1.0000    1.6094    1.6094    
4         spice          1.0000    2.3026    2.3026    
5         profusion      1.0000    2.9957    2.9957    
6         balance        1.0000    1.6094    1.6094    
7         acidity        1.0000    0.9163    0.9163    
8         a              1.0000    0.2877    0.2877    
9         firm           1.0000    1.8971    1.8971    
10        texture        1.0000    1.8971    1.8971    
11        s              1.0000    0.7985    0.7985    
12        food           1.0000    2.3026    2.3026    

Documento 9:
Index     Term           TF        IDF       TF-IDF    
0         savory         1.0000    2.3026    2.3026    
1         dried          1.0000    2.3026    2.3026    
2         thyme          1.0000    2.9957    2.9957    
3         note           1.0000    1.3863    1.3863    
4         accent         1.0000    2.9957    2.9957    
5         sunnier        1.0000    2.9957    2.9957    
6         flavors        1.0000    1.2040    1.2040    
7         preserve       1.0000    2.9957    2.9957    
8         peach          1.0000    2.9957    2.9957    
9         brisk          1.0000    2.3026    2.3026    
10        dry            1.0000    1.3863    1.3863    
11        wine           1.0000    0.9163    0.9163    
12        s              1.0000    0.7985    0.7985    
13        fruity         1.0000    2.3026    2.3026    
14        fresh          1.0000    1.6094    1.6094    
15        elegant        1.0000    2.9957    2.9957    
16        sprightly      1.0000    2.3026    2.3026    
17        footprint      1.0000    2.9957    2.9957    

Documento 10:
Index     Term           TF        IDF       TF-IDF    
0         great          1.0000    2.9957    2.9957    
1         depth          1.0000    2.9957    2.9957    
2         flavor         1.0000    1.8971    1.8971    
3         fresh          1.0000    1.6094    1.6094    
4         apple          1.0000    1.6094    1.6094    
5         pear           1.0000    2.3026    2.3026    
6         fruits         1.0000    1.8971    1.8971    
7         touch          1.0000    2.9957    2.9957    
8         spice          1.0000    2.3026    2.3026    
9         s              1.0000    0.7985    0.7985    
10        dry            1.0000    1.3863    1.3863    
11        balance        1.0000    1.6094    1.6094    
12        acidity        1.0000    0.9163    0.9163    
13        a              1.0000    0.2877    0.2877    
14        crisp          1.0000    1.8971    1.8971    
15        texture        1.0000    1.8971    1.8971    
16        drink          1.0000    2.9957    2.9957    

Documento 11:
Index     Term           TF        IDF       TF-IDF    
0         a              1.4771    0.2877    0.4249    
1         dry            1.0000    1.3863    1.3863    
2         wine           1.3010    0.9163    1.1921    
3         spicy          1.0000    2.3026    2.3026    
4         a              1.4771    0.2877    0.4249    
5         tight          1.0000    2.9957    2.9957    
6         taut           1.0000    2.9957    2.9957    
7         texture        1.0000    1.8971    1.8971    
8         strongly       1.0000    2.9957    2.9957    
9         mineral        1.0000    2.3026    2.3026    
10        character      1.0000    2.3026    2.3026    
11        layered        1.0000    2.9957    2.9957    
12        citrus         1.0000    2.3026    2.3026    
13        pepper         1.0000    1.6094    1.6094    
